dates,number_of_marriage
2018-09-20,8
2016-05-30,8
2016-02-12,8
2015-03-03,13
2015-03-20,9
2019-08-22,10
2015-06-28,20
2018-01-31,9
2019-04-30,10
2015-10-18,14
2020-06-24,12
2020-12-08,12
2015-08-28,7
2020-12-25,17
2017-11-01,14
2018-09-03,8
2020-11-23,14
2020-09-29,9
2019-05-15,7
2015-09-27,14
2020-12-16,9
2015-03-01,14
2015-06-18,5
2015-11-08,7
2017-09-26,8
2017-06-21,10
2017-08-27,12
2017-01-19,9
2019-02-14,12
2019-03-21,9
2018-05-03,7
2015-10-29,11
2016-12-21,13
2019-08-31,6
2019-04-25,4
2015-10-29,16
2020-05-22,8
2018-07-15,6
2020-09-13,8
2017-02-24,12
2015-03-13,9
2018-09-15,6
2019-03-27,12
2020-02-09,3
2020-07-13,16
2016-05-25,10
2015-12-23,15
2020-10-17,10
2018-01-22,8
2020-08-27,7
2019-02-02,8
2019-07-24,11
2018-11-24,2
2020-05-11,12
2017-01-14,6
2017-10-17,10
2020-09-10,6
2016-12-10,8
2019-04-23,8
2020-10-05,7
2019-03-19,8
2017-05-11,10
2018-08-24,9
2020-08-03,13
2019-11-03,6
2017-07-19,10
2016-10-23,13
2019-07-29,10
2018-09-27,10
2019-09-26,12
2016-05-26,9
2019-03-07,12
2020-08-27,11
2020-05-03,14
2019-04-07,16
2019-09-16,8
2019-11-21,7
2015-06-15,18
2019-02-22,10
2016-07-14,14
2016-02-14,8
2020-09-29,13
2019-01-24,8
2015-02-14,14
2017-06-18,13
2018-02-15,10
2019-09-16,10
2019-10-24,12
2015-11-30,6
2020-07-17,7
2018-03-04,5
2019-07-25,10
2019-05-22,7
2018-09-07,11
2015-02-12,12
2018-01-19,6
2017-03-09,13
2020-10-23,13
2020-10-28,7
2015-12-23,15
